TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,IS_NULLABLE
EventTicketModelBronze,EventCluster,SourceChangedTimestampUtc,9,datetime2,NULL,NULL,NULL,6,NO
EventTicketModelBronze,EventCluster,CreatedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
EventTicketModelBronze,EventCluster,UpdatedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
EventTicketModelBronze,Onsale,EventId,1,bigint,NULL,19,0,NULL,NO
EventTicketModelBronze,Onsale,OnsaleType,2,varchar,50,NULL,NULL,NULL,NO
EventTicketModelBronze,Onsale,OnsaleTimestampUtc,3,datetime2,NULL,NULL,NULL,6,NO
EventTicketModelBronze,Onsale,GoTicketsEventId,4,bigint,NULL,19,0,NULL,NO
EventTicketModelBronze,Onsale,OnsaleSource,5,varchar,50,NULL,NULL,NULL,NO
EventTicketModelBronze,Onsale,SourceChangedTimestampUtc,6,datetime2,NULL,NULL,NULL,6,NO
EventTicketModelBronze,Onsale,CreatedTimestampUtc,7,datetime2,NULL,NULL,NULL,6,NO
EventTicketModelBronze,Onsale,UpdatedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,CampaignId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,AccountId,3,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,AdGroupExportStrategyType,4,varchar,100,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,AdNetwork,5,varchar,20,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,AttributeSourceType,6,varchar,100,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,GoTicketsPerformerId,7,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,GoTicketsVenueId,8,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,IsMarketingDefined,9,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,PerformerAliasId,10,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,VenueAliasId,11,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,UpstreamUpdatedTimestampUtc,12,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,CreatedTimestampUtc,13,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,UpdatedTimestampUtc,14,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,CampaignId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,AccountId,3,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,AdGroupExportStrategyType,4,varchar,100,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,AdNetwork,5,varchar,20,NULL,NULL,NULL,NO
