TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
GoTicketsAdManagementBronze,MarketingImageGoogleAdsImageAsset,BASE TABLE
GoTicketsExchangeMetric,StandardExchangeMetric,BASE TABLE
GoTicketsBronze,ListingAttribute,BASE TABLE
GoTicketsAdManagementBronze,MarketingImage,BASE TABLE
GoTicketsExchangeMetric,DetailedExchangeMetric,BASE TABLE
GoTicketsAdManagementBronze,MarketingImageTag,BASE TABLE
GoTicketsBronze,Payment,BASE TABLE
GoTicketsAdManagementBronze,MarketingImageCategory,BASE TABLE
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,BASE TABLE
GoTicketsBronze,Category,BASE TABLE
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,BASE TABLE
GoTicketsBronze,VenueConfiguration,BASE TABLE
GoTicketsBronze,Performer,BASE TABLE
GoTicketsBronze,EventStats,BASE TABLE
GoTicketsBronze,Region,BASE TABLE
GoTicketsBronze,VenueConfigurationSection,BASE TABLE
GoogleAdsBronze,AdGroupAd,BASE TABLE
GoogleAdsBronze,MetricGoal,BASE TABLE
GoTicketsCoreEntity,VisitorProfile,BASE TABLE
GoTicketsBronze,Event,BASE TABLE
GoTicketsWebsiteBronze,VisitorProfile,BASE TABLE
GoTicketsBronze,VenueConfigurationGroup,BASE TABLE
GoogleAdsBronze,CampaignBudget,BASE TABLE
GoogleAdsBronze,AdGroup,BASE TABLE
GoogleAdsBronze,AdGroupCriterion,BASE TABLE
dbo,Watermark,BASE TABLE
GoogleAdsBronze,ExperimentArm,BASE TABLE
GoogleAdsBronze,GeoTargetConstant,BASE TABLE
GoogleAdsBronze,Experiment,BASE TABLE
GoogleAdsBronze,AdGroupKeyword,BASE TABLE
GoogleAdsBronze,Account,BASE TABLE
GoTicketsBronze,PaymentDetail,BASE TABLE
GoogleAdsBronze,CampaignLabel,BASE TABLE
GoogleAdsBronze,AdGroupSearchTerm,BASE TABLE
GoogleAdsBronze,Label,BASE TABLE
GoTicketsAdManagementBronze,VenueAliasExportSetting,BASE TABLE
GoogleAdsBronze,ExperimentArmCampaign,BASE TABLE
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,BASE TABLE
GoogleAdsBronze,AdGroupLabel,BASE TABLE
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,BASE TABLE
GoogleAdsBronze,AccountManager,BASE TABLE
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,BASE TABLE
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,BASE TABLE
GoogleAdsBronze,Campaign,BASE TABLE
GoTicketsAdManagementBronze,CampaignPerPerformerAttributes,BASE TABLE
MicrosoftAdsBronze,CampaignMaxConversionValue,BASE TABLE
GoTicketsAdManagementBronze,CampaignPerVenueAttributes,BASE TABLE
GoogleAdsBronze,BiddingSeasonalityAdjustmentAdvertisingChannel,BASE TABLE
TixBiddingBronze,AdGroupCalculationSettingChange,BASE TABLE
GoogleAdsBronze,BiddingSeasonalityAdjustmentCampaign,BASE TABLE
TixBiddingBronze,CampaignCalculationSettingChange,BASE TABLE
GoogleAdsBronze,BiddingSeasonalityAdjustment,BASE TABLE
GoTicketsMembership,GoogleAdsAccountMembershipHistory,BASE TABLE
TixBiddingBronze,AdGroupBidValueChange,BASE TABLE
GoogleAdsBronze,BiddingSeasonalityAdjustmentDevice,BASE TABLE
GoTicketsMembership,GoogleAdsCampaignMembership,BASE TABLE
GoTicketsCoreEntity,GoogleAdsAccount,BASE TABLE
GoTicketsCoreEntity,MicrosoftAdsAccount,BASE TABLE
GoTicketsMembership,MicrosoftAdsCampaignMembership,BASE TABLE
TixBiddingBronze,CampaignBidValueChange,BASE TABLE
GoTicketsMembership,MicrosoftAdsAdGroupMembership,BASE TABLE
GoTicketsBronze,MappingData,BASE TABLE
GoTicketsMembership,MicrosoftAdsAccountMembershipHistory,BASE TABLE
GoTicketsMembership,GoogleAdsAccountMembership,BASE TABLE
GoTicketsCoreEntity,GoogleAdsCampaign,BASE TABLE
GoTicketsMembership,GoogleAdsCampaignMembershipHistory,BASE TABLE
GoTicketsCoreEntity,GoogleAdsAdGroup,BASE TABLE
AdExperimentBronze,Experiment,BASE TABLE
GoTicketsCoreEntity,MicrosoftAdsAdGroup,BASE TABLE
GoTicketsMembership,MicrosoftAdsAdGroupMembershipHistory,BASE TABLE
GoTicketsCoreEntity,EventCluster,BASE TABLE
GoTicketsCoreEntity,Performer,BASE TABLE
GoTicketsInventoryMetric,EventInventoryMetric,BASE TABLE
GoTicketsMembership,MicrosoftAdsCampaignMembershipHistory,BASE TABLE
GoTicketsInventoryMetric,EventInventoryMetricHistory,BASE TABLE
GoTicketsMembership,GoogleAdsAdGroupMembership,BASE TABLE
GoTicketsBiddingMetric,GoogleAdsCampaignBidChange,BASE TABLE
