schema_name,table_name,column_id,column_name,data_type,max_length,precision,scale,is_nullable,pk_name,pk_ordinal,fk_name,fk_ordinal,ref_schema_name,ref_table_name,ref_column_name
Archive_Tix,dbo_AdWordsAdGroup,15,BidManagerTypeId,smallint,2,5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,16,MetroAreaId,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,17,TargetCpa,decimal,9,18,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,18,MobileBidModifier,float,8,53,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,19,DesktopBidModifier,float,8,53,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,20,TabletBidModifier,float,8,53,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,21,TargetRoas,float,8,53,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,22,AdGroupTypeId,smallint,2,5,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsCampaignExtended,1,AdWordsCampaignExtendedId,int,4,10,0,0,PK_dbo_AdWordsCampaignExtended,1,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsCampaignExtended,2,CampaignId,bigint,8,19,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsCampaignExtended,3,VenueId,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsCampaignExtended,4,PerformerId,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsCampaignExtended,5,Note,varchar,400,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsCampaignExtended,6,TargetCpaStartDate,date,3,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsCampaignExtended,7,LongTermNote,varchar,1600,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividCategory,1,CategoryId,smallint,2,5,0,0,PK_dbo_VividCategory,1,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividCategory,2,CategoryName,varchar,200,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividCategory,3,CategoryDisplayName,varchar,12,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividCategory,4,EventType,varchar,200,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividCategory,5,LimitPerformerNameBidding,bit,1,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividCategory,6,AllowCityNameAds,bit,1,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,1,EventId,int,4,10,0,0,PK_dbo_VividEvent,1,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,2,EventName,varchar,1000,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,3,EventDate,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,4,VenueId,int,4,10,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,5,BestPresaleDateTime,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,6,BestPresaleDateTimeType,varchar,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,7,Presale1DateTime,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,8,Presale2DateTime,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,9,ManualPresaleDateTime,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,10,PresaleDateTimeManuallyRemoved,bit,1,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,11,OnsaleDateTime,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,12,ManualOnsaleDateTime,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,13,TicketmasterOnsaleDateTime,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,14,OnsaleDateTimeManuallyRemoved,bit,1,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,15,MinPrice,float,8,53,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,16,MaxPrice,float,8,53,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,17,AvgPrice,decimal,9,18,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,18,ActiveListings,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,19,ZoneListings,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,20,ZoneQuantity,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,21,RealListings,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,22,RealQuantity,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,23,InstantListings,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,24,InstantQuantity,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,25,ListingsWith1,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,26,ListingsWith2,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,27,ListingsWith3,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,28,ListingsWith4,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,29,ListingsWith5Plus,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,30,NetworkOrdersAllTime,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,31,NetworkTicketsSoldAllTime,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,32,NetworkRevenueAllTime,float,8,53,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,33,NetworkOrdersPast7Days,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,34,NetworkTicketsSoldPast7Days,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,35,NetworkRevenuePast7Days,float,8,53,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,36,NetworkOrdersToday,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,37,NetworkTicketsSoldToday,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,38,NetworkRevenueToday,float,8,53,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,39,DateCreated,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,40,DeletedByVivid,bit,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,41,MissingCount,smallint,2,5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,42,EventCancelled,bit,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,43,AxsOnsaleDateTime,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,44,TicketNetworkOnsaleDateTime,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,45,BestOnsaleDateTimeType,varchar,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,46,BestOnsaleDateTime,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEvent,47,TicketmasterPresaleDateTime,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,1,EventId,int,4,10,0,0,PK_dbo_VividEventDailyStats,2,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,2,ActivityDate,date,3,10,0,0,PK_dbo_VividEventDailyStats,1,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,3,NetworkRevenue,decimal,9,18,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,4,NetworkOrders,int,4,10,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,5,NetworkTicketsSold,int,4,10,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,6,MinPrice,decimal,13,21,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,7,MaxPrice,decimal,13,21,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,8,AvgPrice,decimal,13,21,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,9,ZoneListings,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,10,ZoneQuantity,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,11,ActiveListings,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,12,RealListings,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,13,RealQuantity,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,14,InstantListings,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,15,InstantQuantity,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,16,ListingsWith1,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,17,ListingsWith2,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,18,ListingsWith3,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,19,ListingsWith4,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventDailyStats,20,ListingsWith5Plus,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventPerformer,1,EventId,int,4,10,0,0,PK_dbo_VividEventPerformer,1,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventPerformer,2,PerformerId,int,4,10,0,0,PK_dbo_VividEventPerformer,2,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventPerformer,3,Master,bit,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventPerformer,4,DateCreated,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventPerformer,5,PrimaryMaster,bit,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividEventPerformer,6,DeletedByVivid,bit,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,1,OrderId,int,4,10,0,0,PK_dbo_VividOrder,1,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,2,OrderDateTimeNetwork,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,3,OrderDateNetwork,date,3,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,4,OrderDateTimePacific,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,5,OrderDatePacific,date,3,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,6,EventId,int,4,10,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,7,Quantity,smallint,2,5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
